battle,lat,long
VA052,37.6599,-77.4552
VA053,37.3935,-77.4277
VA054,37.3444,-77.3914
VA055,37.8862,-77.4943
VA056,37.3067,-76.9967
VA057,37.634,-77.2987
VA058,37.676,-77.3118
VA059,37.6444,-77.2209
VA062,37.59,-77.285
VA063,37.2211,-77.3782
VA064,37.3845,-79.1832
VA065,37.1844,-77.3767
VA066,37.4322,-77.1506
VA067,36.9459,-77.4531
VA068,37.0959,-77.4226
VA069,37.4359,-77.2609
VA070,37.2183,-77.3777
VA071,37.4438,-77.2844
VA072,37.1747,-77.4203
VA073,37.0959,-77.4226
VA074,37.1705,-77.4537
VA075,37.4268,-77.3729
VA076,36.8857,-81.7592
VA077,37.4576,-77.346703
VA078,37.483,-77.3574
VA079,37.1431,-77.5116
VA080,37.494,-77.334
VA081,36.852,-81.4873
VA082,36.8646,-81.7674
VA083,37.1305,-77.4853
VA084,37.226,-77.371
VA085,37.1283,-77.5278
VA086,37.0773,-77.5871
VA087,37.1484,-77.5197
VA088,37.1394,-77.6228
VA089,37.1776,-77.4774
VA090,37.1975,-77.5625
VA091,37.3344,-78.079
VA092,37.2691,-78.2947
VA093,37.3055,-78.228
VA094,37.3464,-78.3866
VA095,37.3122,-78.3177
VA096,37.3535,-78.8273
VA097,37.377778,-78.794444
VA098,37.2038,-77.3831
VA099,38.0497,-78.066
VA100,38.5586,-77.2642
VA101,39.1431,-78.2058
VA102,38.3247,-79.4754
VA103,38.936,-78.1923
VA104,39.1773,-78.1744
VA105,38.3579,-78.8438
VA106,38.3002,-78.7933
VA107,39.1847,-78.1671
VA108,38.914,-78.114
VA109,37.043,-81.122
VA110,38.6552,-78.6783
VA111,38.2142,-78.8994
VA113,36.8857,-78.7044
VA114,39.1457,-77.865
VA115,39.2193,-78.1333
VA116,39.1395,-78.1953
VA117,38.9531,-78.2001
VA118,39.1621,-77.9976
VA119,39.1956,-78.1325
VA120,38.9838,-78.3959
VA121,38.9429,-78.4458
VA122,39.0208,-78.3038
VA123,38.0656,-78.8962
VA124,37.2489,-77.7256
VA125,37.7092,-76.9247
WV001,39.1532,-80.0428
WV002,39.545,-77.9063
WV003,38.8661,-79.9339
WV004,38.235,-80.935
WV005,38.6214,-79.8806
WV006,38.2089,-80.9386
WV007,38.5342,-79.7678
WV008,38.4739,-79.7244
WV009,37.3657,-81.1017
WV010,39.3228,-77.7302
WV012,38.1128,-80.274
WV013,39.0941,-78.9645
WV014,39.2499,-77.9586
WV015,39.308,-77.9824
WV016,39.4279,-77.7786
